,Date,Count-Crashes,Count-Fatalities,text_x,Low,High,Precipitation,snow,snowdepth,windgust,windspeed,cloudcover,conditions,description,Sum_Crashes,Sum_Fatalities,text_y
15,2016-01-15,0.0,0,...WINTER WEATHER ADVISORY REMAINS IN EFFECT UNTIL 11 AM MST THIS MORNING...  * AFFECTED AREA...THE WASATCH FRONT...WASATCH MOUNTAIN VALLEYS...    GREAT SALT LAKE DESERT...WEST CENTRAL UTAH...AND THE SEVIER    AND SANPETE VALLEYS.   * SNOW ACCUMULATIONS...TOTAL ACCUMULATION OF 1 TO 4 INCHES WITH    LOCALLY HIGHER AMOUNTS POSSIBLE ALONG THE BENCHES.   * TIMING...SNOW CONTINUING THROUGH MID MORNING BEFORE TAPERING    OFF BY MID DAY.   * IMPACTS...SNOWFALL WILL CONTINUE TO CREATE TRAVEL DIFFICULTIES   ESPECIALLY FROM UTAH COUNTY SOUTHWARD. PLAN EXTRA TIME FOR   TRAVEL THIS MORNING AND ALLOW EXTRA FOLLOWING DISTANCE.,30.3,34.6,0.08,0.75,6.07,0.0,12.2,0.943,"Snow, Overcast",Cloudy skies throughout the day with snow clearing later.,,,Cloudy skies throughout the day with snow clearing later.
16,2016-01-16,1.0,1,,28.4,37.3,0.01,0.17,6.04,0.0,12.0,0.836,"Snow, Partially cloudy",Partly cloudy throughout the day with late afternoon snow.,,,Partly cloudy throughout the day with late afternoon snow.
17,2016-01-17,0.0,0,,32.0,44.6,0.02,3.22,8.52,0.0,12.2,0.816,"Snow, Partially cloudy",Partly cloudy throughout the day with early morning snow.,,,Partly cloudy throughout the day with early morning snow.
18,2016-01-18,0.0,0,,33.9,40.4,0.24,0.0,6.25,0.0,11.4,0.9259999999999999,"Rain, Overcast",Cloudy skies throughout the day with rain.,,,Cloudy skies throughout the day with rain.
19,2016-01-19,0.0,0,...DENSE FOG ADVISORY IN EFFECT UNTIL 9 AM MST THIS MORNING...  THE NATIONAL WEATHER SERVICE IN SALT LAKE CITY HAS ISSUED A DENSE FOG ADVISORY...WHICH IS IN EFFECT UNTIL 9 AM MST THIS MORNING.  * AFFECTED AREA...THE SALT LAKE AND TOOELE VALLEYS AND THE   SOUTHERN WASATCH FRONT.  * VISIBILITIES...NEAR ONE QUARTER MILE WITH A FEW AREA NEAR ZERO   VISIBILITY ALONG THE BENCH AREAS AND NEAR THE GREAT SALT LAKE.   * TIMING...CLEARING SKIES WILL ALLOW FOR WIDESPREAD FOG ACROSS THE   ADVISORY AREA. DENSE FOG DEVELOPING NEAR THE GREAT SALT LAKE   WILL GRADUALLY EXPAND ACROSS THE SALT LAKE AND TOOELE VALLEYS   OVERNIGHT. UTAH COUNTY WILL SEE FOG DEVELOP BY MORNING WITH   POCKETS OF DENSE FOG FOR THE MORNING COMMUTE.   * IMPACTS...HAZARDOUS DRIVING CONDITIONS DUE TO REDUCED VISIBILITY   WILL EXIST THROUGH THE BALANCE OF TONIGHT AND INTO THE MORNING   COMMUTE. ,27.0,39.5,0.0,0.02,5.59,31.1,23.9,0.887,Partially cloudy,Partly cloudy throughout the day.,,,Partly cloudy throughout the day.
20,2016-01-20,0.0,0,,29.6,39.6,0.07,0.02,5.31,36.9,26.4,0.727,"Snow, Partially cloudy",Partly cloudy throughout the day with morning snow.,,,Partly cloudy throughout the day with morning snow.
21,2016-01-21,0.0,0,,26.4,40.2,0.0,0.0,5.32,27.7,11.6,0.43799999999999994,Partially cloudy,Partly cloudy throughout the day.,,,Partly cloudy throughout the day.
22,2016-01-22,0.0,0,,27.6,41.5,0.0,0.0,4.98,0.0,14.3,0.657,Partially cloudy,Partly cloudy throughout the day.,,,Partly cloudy throughout the day.
23,2016-01-23,0.0,0,...WINTER WEATHER ADVISORY IN EFFECT FROM 8 PM THIS EVENING TO 10 AM MST SUNDAY...  THE NATIONAL WEATHER SERVICE IN SALT LAKE CITY HAS ISSUED A WINTER WEATHER ADVISORY FOR SNOW...WHICH IS IN EFFECT FROM 8 PM THIS EVENING TO 10 AM MST SUNDAY.  * AFFECTED AREA...THE SALT LAKE AND TOOELE VALLEYS...SOUTHERN   WASATCH FRONT...AND THE WASATCH MOUNTAIN VALLEYS SOUTH OF   INTERSTATE 80 INCLUDING PARK CITY AND HEBER.  * SNOW ACCUMULATIONS...GENERALLY 1 TO 4 INCHES...LOCALLY HIGHER ON   THE BENCHES POSSIBLE. ACROSS THE PARK CITY AND HEBER AREAS...2   TO 5 INCHES CAN BE EXPECTED.  * TIMING...DEVELOPING THIS EVENING...BECOMING HEAVY AT TIMES   OVERNIGHT...BEFORE DIMINISHING SUNDAY MORNING.  * SNOW LEVELS...BEFORE 3 AM...RAIN MAY MIX IN WITH SNOW ALONG THE   WASATCH FRONT. PRECIPITATION WILL BECOME ALL SNOW EARLY SUNDAY   MORNING.  * IMPACTS...WINTER DRIVING CONDITIONS MAY DEVELOP ACROSS PORTIONS   OF THE SALT LAKE/TOOELE/UTAH VALLEYS OVERNIGHT...LASTING INTO   SUNDAY MORNING. MAYFLOWER SUMMIT BETWEEN HEBER AND PARK CITY IS   ESPECIALLY LIKELY TO DETERIORATE.,28.5,39.4,0.3,1.97,5.79,0.0,13.1,0.899,"Snow, Partially cloudy",Partly cloudy throughout the day with late afternoon snow.,,,Partly cloudy throughout the day with late afternoon snow.
24,2016-01-24,0.0,0,...WINTER WEATHER ADVISORY REMAINS IN EFFECT UNTIL 10 AM MST THIS MORNING...  * AFFECTED AREA...THE CENTRAL AND SOUTHERN WASATCH FRONT...THE   WASATCH MOUNTAIN VALLEYS...SANPETE AND SEVIER VALLEYS...AND WEST   CENTRAL UTAH.  * SNOW ACCUMULATIONS...AN ADDITIONAL 1 TO 4 INCHES WITH THE   GREATEST AMOUNTS SOUTHEAST OF THE GREAT SALT LAKE.  * TIMING...SNOW WILL CONTINUE...HEAVY AT TIMES THROUGH MID   MORNING THEN GRADUALLY BECOME LESS WIDESPREAD.  * IMPACTS...WINTER DRIVING CONDITIONS ARE EXPECTED THROUGH MID   MORNING INCLUDING I-15 AND I-80 AS WELL AS US-89 SOUTH OF   SPANISH FORK CANYON.,31.6,35.7,0.22,1.42,7.21,0.0,9.3,0.922,"Snow, Overcast",Cloudy skies throughout the day with a chance of snow throughout the day.,,,Cloudy skies throughout the day with a chance of snow throughout the day.
25,2016-01-25,0.0,0,,25.6,35.7,0.0,0.09,7.3,0.0,7.7,0.649,Partially cloudy,Partly cloudy throughout the day.,,,Partly cloudy throughout the day.
26,2016-01-26,0.0,0,,21.4,38.3,0.0,0.0,6.74,0.0,8.4,0.48700000000000004,Partially cloudy,Partly cloudy throughout the day.,,,Partly cloudy throughout the day.
27,2016-01-27,0.0,0,,20.4,36.2,0.0,0.0,6.1,0.0,10.7,0.456,Partially cloudy,Partly cloudy throughout the day.,,,Partly cloudy throughout the day.
28,2016-01-28,0.0,0,,22.5,36.7,0.0,0.0,5.85,0.0,9.6,0.43799999999999994,Partially cloudy,Partly cloudy throughout the day.,,,Partly cloudy throughout the day.
29,2016-01-29,1.0,1,...WINTER WEATHER ADVISORY IN EFFECT FROM 4 AM TO 5 PM MST SATURDAY...  THE NATIONAL WEATHER SERVICE IN SALT LAKE CITY HAS ISSUED A WINTER WEATHER ADVISORY FOR SNOW...WHICH IS IN EFFECT FROM 4 AM TO 5 PM MST SATURDAY.  * AFFECTED AREA...THE CACHE VALLEY...WASATCH FRONT AND THE GREAT   SALT LAKE DESERT AND MOUNTAINS.  * SNOW ACCUMULATIONS...STORM TOTALS OF 1 TO 4 INCHES WITH LOCALLY   HIGHER AMOUNTS.  * TIMING...RAIN WILL QUICKLY CHANGE TO SNOW AS A COLD FRONT   CROSSES THE AREA EARLY SATURDAY MORNING. SNOW WILL   CONTINUE...HEAVY AT TIMES THROUGH EARLY SATURDAY AFTERNOON   BEFORE DIMINISHING LATER SATURDAY AFTERNOON.  * IMPACTS...WINTER DRIVING CONDITIONS CAN BE EXPECTED ACROSS   NORTHERN UTAH INCLUDING INTERSTATES 15...84 AND 80.,26.9,45.7,0.04,0.83,6.59,31.1,20.7,0.804,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,,,Partly cloudy throughout the day with snow.
30,2016-01-30,0.0,0,...WINTER WEATHER ADVISORY REMAINS IN EFFECT UNTIL 5 PM MST THIS AFTERNOON...  * AFFECTED AREA...THE CACHE VALLEY...WASATCH FRONT AND THE GREAT    SALT LAKE DESERT AND MOUNTAINS.   * SNOW ACCUMULATIONS...STORM TOTALS OF 1 TO 4 INCHES.  * TIMING...RAIN WILL QUICKLY CHANGE TO SNOW AS A COLD FRONT   CROSSES THE AREA EARLY THIS MORNING. SNOW WILL CONTINUE...HEAVY   AT TIMES...INTO EARLY SATURDAY AFTERNOON...DIMINISHING LATE   SATURDAY AFTERNOON.  * IMPACTS...WINTER DRIVING CONDITIONS CAN BE EXPECTED ACROSS   NORTHERN UTAH INCLUDING INTERSTATES 15...84 AND 80...WITH THE   MOST SIGNIFICANT IMPACTS EXPECTED TO BE NORTH OF SALT LAKE CITY.,26.0,46.3,0.48,1.67,7.78,30.0,20.6,0.8740000000000001,"Snow, Partially cloudy",Partly cloudy throughout the day with a chance of snow throughout the day.,,,Partly cloudy throughout the day with a chance of snow throughout the day.
31,2016-01-31,0.0,0,..WINTER WEATHER ADVISORY IN EFFECT UNTIL 4 PM MST MONDAY...  THE NATIONAL WEATHER SERVICE IN SALT LAKE CITY HAS ISSUED A WINTER WEATHER ADVISORY FOR SNOW AND BLOWING SNOW...WHICH IS IN EFFECT UNTIL 4 PM MST MONDAY.  * AFFECTED AREA...THE CENTRAL AND SOUTHERN WASATCH FRONT...TOOELE   VALLEY...AND WASATCH MOUNTAIN VALLEYS SOUTH OF I-80.  * SNOW ACCUMULATIONS...1 TO 4 INCHES OF NEW ACCUMULATION THROUGH   MONDAY AFTERNOON...WITH LOCALLY HIGHER AMOUNTS SOUTH OF PROVO.   * TIMING...SNOW WILL SPREAD NORTHWARD INTO UTAH COUNTY THIS   EVENING...THEN INTO THE SOUTHERN SALT LAKE AND TOOELE   VALLEYS...AND THE HEBER VALLEY OVERNIGHT THROUGH MONDAY MORNING.   SNOW WILL TAPER OFF MONDAY AFTERNOON.   * WINDS...NORTH WINDS OF 15 TO 25 MPH WITH LOCAL GUSTS IN EXCESS   OF 40 MPH WILL RESULT IN CONSIDERABLE BLOWING AND DRIFTING OF   SNOW...IN PARTICULAR ACROSS NORTHERN UTAH COUNTY INCLUDING LEHI   AND ALPINE.   * IMPACTS...SNOW AND BLOWING SNOW WILL RESULT IN WINTER DRIVING   CONDITIONS ACROSS THE AREA THROUGH MONDAY...AND WILL LIKELY   IMPACT THE MORNING COMMUTE. LOCALLY ENHANCED WINDS RESULTING IN   CONSIDERABLE BLOWING AND DRIFTING SNOW ARE POSSIBLE IN NORTHERN   UTAH COUNTY MONDAY IMPACTING I-15 AND SR-92. ,20.5,29.7,0.01,0.82,8.42,32.2,10.1,0.7240000000000001,"Snow, Partially cloudy",Partly cloudy throughout the day with late afternoon snow.,,,Partly cloudy throughout the day with late afternoon snow.
32,2016-02-01,0.0,0,..WINTER WEATHER ADVISORY REMAINS IN EFFECT UNTIL 4 PM MST THIS AFTERNOON...  * AFFECTED AREA...THE CENTRAL AND SOUTHERN WASATCH FRONT...    TOOELE VALLEY...AND WASATCH MOUNTAIN VALLEYS SOUTH OF I-80.   * SNOW ACCUMULATIONS...1 TO 4 INCHES OF NEW ACCUMULATION THROUGH   THIS AFTERNOON...WITH LOCALLY HIGHER AMOUNTS SOUTH OF PROVO.  * TIMING...SNOW WILL CONTINUE THIS MORNING BEFORE TAPERING OFF.  * WINDS...NORTH WINDS OF 15 TO 25 MPH WITH LOCAL GUSTS IN EXCESS    OF 40 MPH WILL RESULT IN CONSIDERABLE BLOWING AND DRIFTING OF    SNOW...IN PARTICULAR ACROSS NORTHERN UTAH COUNTY INCLUDING    LEHI AND ALPINE.   * IMPACTS...SNOW AND BLOWING SNOW WILL RESULT IN WINTER DRIVING   CONDITIONS ACROSS THE AREA TODAY...IMPACTING THE MORNING   COMMUTE. LOCALLY ENHANCED WINDS RESULTING IN CONSIDERABLE   BLOWING AND DRIFTING SNOW ARE POSSIBLE IN NORTHERN UTAH COUNTY   MONDAY IMPACTING I-15 AND SR-92.,20.1,29.5,0.05,0.31,8.73,34.4,24.7,0.884,"Snow, Partially cloudy",Partly cloudy throughout the day with early morning snow.,,,Partly cloudy throughout the day with early morning snow.
33,2016-02-02,0.0,0,,13.7,27.9,0.0,0.0,7.71,0.0,7.6,0.643,Partially cloudy,Partly cloudy throughout the day.,,,Partly cloudy throughout the day.
34,2016-02-03,1.0,1,,18.0,28.9,0.0,0.36,6.02,0.0,11.9,0.645,Partially cloudy,Partly cloudy throughout the day.,,,Partly cloudy throughout the day.
35,2016-02-04,0.0,0,,18.7,29.6,0.02,1.19,7.21,0.0,10.0,0.848,"Snow, Partially cloudy",Partly cloudy throughout the day with morning snow.,,,Partly cloudy throughout the day with morning snow.
36,2016-02-05,1.0,1,,26.9,38.3,0.02,0.1,7.31,0.0,8.9,0.746,"Snow, Partially cloudy",Partly cloudy throughout the day with early morning snow.,,,Partly cloudy throughout the day with early morning snow.
37,2016-02-06,0.0,0,,21.9,40.1,0.0,0.0,7.03,20.8,13.4,0.46299999999999997,Partially cloudy,Partly cloudy throughout the day.,,,Partly cloudy throughout the day.
38,2016-02-07,1.0,1,,23.9,38.6,0.0,0.0,6.81,0.0,8.4,0.539,Partially cloudy,Partly cloudy throughout the day.,,,Partly cloudy throughout the day.
39,2016-02-08,0.0,0,,22.8,38.7,0.0,0.0,6.35,0.0,8.1,0.442,Partially cloudy,Partly cloudy throughout the day.,,,Partly cloudy throughout the day.
40,2016-02-09,0.0,0,,24.9,39.5,0.0,0.0,6.03,0.0,8.6,0.064,Clear,Clear conditions throughout the day.,,,Clear conditions throughout the day.
41,2016-02-10,0.0,0,,26.9,33.1,0.0,0.53,6.1,0.0,9.7,0.902,Overcast,Cloudy skies throughout the day.,,,Cloudy skies throughout the day.
42,2016-02-11,0.0,0,,27.9,33.1,0.0,0.0,5.82,0.0,10.1,0.955,Overcast,Cloudy skies throughout the day.,,,Cloudy skies throughout the day.
43,2016-02-12,0.0,0,,28.8,33.9,0.01,0.0,4.77,0.0,10.0,0.9690000000000001,"Snow, Overcast",Cloudy skies throughout the day with morning rain.,,,Cloudy skies throughout the day with morning rain.
44,2016-02-13,1.0,1,,28.1,35.8,0.0,0.1,3.97,0.0,11.1,0.7829999999999999,Partially cloudy,Partly cloudy throughout the day.,,,Partly cloudy throughout the day.
45,2016-02-14,0.0,0,,28.9,42.7,0.1,0.06,3.96,0.0,12.5,0.9129999999999999,"Snow, Overcast",Cloudy skies throughout the day with snow.,,,Cloudy skies throughout the day with snow.
46,2016-02-15,0.0,0,,38.0,55.8,0.0,0.0,3.72,0.0,10.2,0.83,Partially cloudy,Partly cloudy throughout the day.,,,Partly cloudy throughout the day.
47,2016-02-16,0.0,0,,37.9,57.5,0.0,0.0,3.53,0.0,13.5,0.6679999999999999,Partially cloudy,Partly cloudy throughout the day.,,,Partly cloudy throughout the day.
48,2016-02-17,1.0,1,THE NATIONAL WEATHER SERVICE IN SALT LAKE CITY HAS ISSUED A HIGH WIND WATCH...WHICH IS IN EFFECT FROM THURSDAY MORNING THROUGH THURSDAY AFTERNOON.  * AFFECTED AREA...THE WASATCH FRONT AND WESTERN VALLEYS OF UTAH.  * WINDS...SOUTHERLY 30 TO 40 MPH WITH GUSTS OVER 60 MPH. WINDS   WILL SHIFT TO NORTHWEST AND BECOME STRONGER FOR A SHORT TIME   BEHIND A COLD FRONT ACROSS THE NORTHWEST DESERTS AND ALONG THE   WASATCH FRONT ESPECIALLY UTAH COUNTY.  * TIMING...SOUTH WINDS INCREASING BEFORE SUNRISE AND REMAINING   STRONG THROUGH MIDDAY AHEAD OF A COLD FRONT. STRONG WINDS BEHIND   THE FRONT WILL DROP OFF WITHIN ONE TO TWO HOURS AFTER IT PASSES.   THE FRONT WILL CROSS THE SALT FLATS LATE THURSDAY MORNING AND   THE WASATCH FRONT AROUND MIDDAY THEN MOVE SOUTH AND EAST THROUGH   THE REST OF THE STATE THURSDAY AFTERNOON.  * IMPACTS...STRONG WINDS WILL MAKE DRIVING DIFFICULT ESPECIALLY   FOR LIGHTWEIGHT AND HIGH PROFILE VEHICLES ALONG MOST ROUTES   THROUGH THE WESTERN UTAH VALLEYS INCLUDING I-15 AND I-80.,37.1,60.3,0.0,0.0,3.32,39.1,26.0,0.897,Partially cloudy,Partly cloudy throughout the day.,,,Partly cloudy throughout the day.
49,2016-02-18,0.0,0,...HIGH WIND WARNING NOW IN EFFECT UNTIL 5 PM MST THIS AFTERNOON...  * AFFECTED AREA...THE GREAT SALT LAKE DESERT...THE SALT LAKE AND    TOOELE VALLEYS...AND THE VALLEYS OF WEST CENTRAL AND SOUTHWEST    UTAH.   * WINDS...SOUTH WINDS 30 TO 40 MPH WITH GUSTS IN EXCESS OF 60 MPH   SHIFTING TO THE NORTHWEST WITH THE COLD FRONT.  * TIMING...STRONG WINDS WILL CONTINUE THROUGH THE MORNING. WINDS   WILL SHIFT TO THE NORTHWEST AS A COLD FRONT CROSSES THE AREA   DURING THE AFTERNOON. STRONG WINDS WILL CONTINUE FOR A SHORT   TIME BEHIND THE FRONT BEFORE DECREASING MID TO LATE AFTERNOON.  * IMPACTS...STRONG WINDS WILL MAKE DRIVING DIFFICULT ESPECIALLY    FOR LIGHTWEIGHT AND HIGH PROFILE VEHICLES ALONG MOST ROUTES    THROUGH THE WESTERN UTAH VALLEYS INCLUDING I-15 AND I-80. ,33.2,56.5,0.29,0.51,1.04,51.7,36.0,0.8140000000000001,"Snow, Partially cloudy",Partly cloudy throughout the day with afternoon snow.,,,Partly cloudy throughout the day with afternoon snow.
50,2016-02-19,1.0,1,,34.0,55.8,0.0,0.3,0.81,29.9,20.5,0.534,Partially cloudy,Partly cloudy throughout the day.,,,Partly cloudy throughout the day.
51,2016-02-20,0.0,0,,37.0,48.7,0.0,0.0,0.27,0.0,12.8,0.624,Partially cloudy,Partly cloudy throughout the day.,,,Partly cloudy throughout the day.
52,2016-02-21,0.0,0,,30.9,48.7,0.0,0.0,0.0,0.0,9.9,0.62,Partially cloudy,Partly cloudy throughout the day.,,,Partly cloudy throughout the day.
53,2016-02-22,1.0,1,,34.0,43.0,0.01,0.0,0.0,25.3,16.9,0.733,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,,,Partly cloudy throughout the day with morning rain.
54,2016-02-23,0.0,0,,28.2,44.0,0.0,0.0,0.0,0.0,10.1,0.256,Partially cloudy,Partly cloudy throughout the day.,,,Partly cloudy throughout the day.
55,2016-02-24,0.0,0,,29.0,49.7,0.0,0.0,0.0,0.0,11.1,0.503,Partially cloudy,Partly cloudy throughout the day.,,,Partly cloudy throughout the day.
56,2016-02-25,0.0,0,,30.0,53.8,0.0,0.0,0.0,0.0,10.3,0.209,Partially cloudy,Partly cloudy throughout the day.,,,Partly cloudy throughout the day.
57,2016-02-26,0.0,0,,33.2,61.7,0.0,0.0,0.0,0.0,9.3,0.276,Partially cloudy,Partly cloudy throughout the day.,,,Partly cloudy throughout the day.
58,2016-02-27,0.0,0,,39.8,64.6,0.0,0.0,0.0,32.8,22.9,0.6829999999999999,Partially cloudy,Partly cloudy throughout the day.,,,Partly cloudy throughout the day.
59,2016-02-28,0.0,0,,33.1,56.8,0.0,0.0,0.0,0.0,8.3,0.493,Partially cloudy,Becoming cloudy in the afternoon.,,,Becoming cloudy in the afternoon.
60,2016-02-29,0.0,0,,38.8,52.9,0.0,0.0,0.0,17.2,10.4,0.685,Partially cloudy,Partly cloudy throughout the day.,,,Partly cloudy throughout the day.
61,2016-03-01,0.0,0,,35.1,60.9,0.0,0.0,0.0,0.0,14.6,0.7240000000000001,Partially cloudy,Partly cloudy throughout the day.,,,Partly cloudy throughout the day.
62,2016-03-02,0.0,0,,41.1,58.9,0.0,0.0,0.0,31.1,22.3,0.537,Partially cloudy,Clearing in the afternoon.,,,Clearing in the afternoon.
63,2016-03-03,0.0,0,,38.0,67.5,0.0,0.0,0.0,0.0,14.8,0.6990000000000001,Partially cloudy,Partly cloudy throughout the day.,,,Partly cloudy throughout the day.
64,2016-03-04,0.0,0,,43.1,66.6,0.0,0.0,0.0,0.0,12.4,0.727,Partially cloudy,Partly cloudy throughout the day.,,,Partly cloudy throughout the day.
65,2016-03-05,0.0,0,...WIND ADVISORY IN EFFECT FROM 6 PM THIS EVENING TO 6 PM MST SUNDAY...  THE NATIONAL WEATHER SERVICE IN SALT LAKE CITY HAS ISSUED A WIND ADVISORY...WHICH IS IN EFFECT FROM 6 PM THIS EVENING TO 6 PM MST SUNDAY.  * AFFECTED AREA...THE SALT LAKE AND TOOELE VALLEYS...THE WEST   CENTRAL AND SOUTHWEST VALLEYS OF UTAH...THE GREAT SALT LAKE   DESERT AND MOUNTAINS  * WINDS...SOUTHERLY WINDS OF 25 TO 35 MPH WITH GUSTS APPROACHING   55 MPH. WINDS WILL SHIFT TO THE NORTHWEST AND REMAIN STRONG   BEHIND A COLD FRONT CROSSING THE ADVISORY AREA ON SUNDAY.  * TIMING...SOUTHERLY WINDS WILL DEVELOP ACROSS WESTERN UTAH   TODAY...THEN INCREASE SIGNIFICANTLY THIS EVENING. THE SOUTHERLY   WINDS WILL BE STRONGEST AHEAD OF A COLD FRONT MOVING THROUGH   NORTHERN AND WESTERN UTAH SUNDAY MORNING THROUGH EARLY AFTERNOON.   STRONG NORTHWEST WINDS WILL TRAIL THE COLD FRONT...THEN DECREASE   RAPIDLY BEGINNING EARLY SUNDAY EVENING.  * IMPACTS...TRAVEL ALONG WEST TO EAST ROUTES...INCLUDING BUT NOT   LIMITED TO INTERSTATE 80...HIGHWAYS 50 AND 6 AND STATE ROUTE 30   WILL BE IMPACTED BY STRONG AND SHIFTING CROSS WINDS. HIGH   PROFILE AND LIGHT WEIGHT VEHICLES WILL BE SUBJECT TO HAZARDOUS   TRAVEL CONDITIONS TONIGHT THROUGH SUNDAY.,51.2,66.7,0.0,0.0,0.0,20.8,16.9,0.805,Partially cloudy,Partly cloudy throughout the day.,,,Partly cloudy throughout the day.
