Date,text
FEB 1 2016,..WINTER WEATHER ADVISORY REMAINS IN EFFECT UNTIL 4 PM MST THIS AFTERNOON...  * AFFECTED AREA...THE CENTRAL AND SOUTHERN WASATCH FRONT...    TOOELE VALLEY...AND WASATCH MOUNTAIN VALLEYS SOUTH OF I-80.   * SNOW ACCUMULATIONS...1 TO 4 INCHES OF NEW ACCUMULATION THROUGH   THIS AFTERNOON...WITH LOCALLY HIGHER AMOUNTS SOUTH OF PROVO.  * TIMING...SNOW WILL CONTINUE THIS MORNING BEFORE TAPERING OFF.  * WINDS...NORTH WINDS OF 15 TO 25 MPH WITH LOCAL GUSTS IN EXCESS    OF 40 MPH WILL RESULT IN CONSIDERABLE BLOWING AND DRIFTING OF    SNOW...IN PARTICULAR ACROSS NORTHERN UTAH COUNTY INCLUDING    LEHI AND ALPINE.   * IMPACTS...SNOW AND BLOWING SNOW WILL RESULT IN WINTER DRIVING   CONDITIONS ACROSS THE AREA TODAY...IMPACTING THE MORNING   COMMUTE. LOCALLY ENHANCED WINDS RESULTING IN CONSIDERABLE   BLOWING AND DRIFTING SNOW ARE POSSIBLE IN NORTHERN UTAH COUNTY   MONDAY IMPACTING I-15 AND SR-92.
FEB 17 2016,THE NATIONAL WEATHER SERVICE IN SALT LAKE CITY HAS ISSUED A HIGH WIND WATCH...WHICH IS IN EFFECT FROM THURSDAY MORNING THROUGH THURSDAY AFTERNOON.  * AFFECTED AREA...THE WASATCH FRONT AND WESTERN VALLEYS OF UTAH.  * WINDS...SOUTHERLY 30 TO 40 MPH WITH GUSTS OVER 60 MPH. WINDS   WILL SHIFT TO NORTHWEST AND BECOME STRONGER FOR A SHORT TIME   BEHIND A COLD FRONT ACROSS THE NORTHWEST DESERTS AND ALONG THE   WASATCH FRONT ESPECIALLY UTAH COUNTY.  * TIMING...SOUTH WINDS INCREASING BEFORE SUNRISE AND REMAINING   STRONG THROUGH MIDDAY AHEAD OF A COLD FRONT. STRONG WINDS BEHIND   THE FRONT WILL DROP OFF WITHIN ONE TO TWO HOURS AFTER IT PASSES.   THE FRONT WILL CROSS THE SALT FLATS LATE THURSDAY MORNING AND   THE WASATCH FRONT AROUND MIDDAY THEN MOVE SOUTH AND EAST THROUGH   THE REST OF THE STATE THURSDAY AFTERNOON.  * IMPACTS...STRONG WINDS WILL MAKE DRIVING DIFFICULT ESPECIALLY   FOR LIGHTWEIGHT AND HIGH PROFILE VEHICLES ALONG MOST ROUTES   THROUGH THE WESTERN UTAH VALLEYS INCLUDING I-15 AND I-80.
FEB 18 2016,...HIGH WIND WARNING NOW IN EFFECT UNTIL 5 PM MST THIS AFTERNOON...  * AFFECTED AREA...THE GREAT SALT LAKE DESERT...THE SALT LAKE AND    TOOELE VALLEYS...AND THE VALLEYS OF WEST CENTRAL AND SOUTHWEST    UTAH.   * WINDS...SOUTH WINDS 30 TO 40 MPH WITH GUSTS IN EXCESS OF 60 MPH   SHIFTING TO THE NORTHWEST WITH THE COLD FRONT.  * TIMING...STRONG WINDS WILL CONTINUE THROUGH THE MORNING. WINDS   WILL SHIFT TO THE NORTHWEST AS A COLD FRONT CROSSES THE AREA   DURING THE AFTERNOON. STRONG WINDS WILL CONTINUE FOR A SHORT   TIME BEHIND THE FRONT BEFORE DECREASING MID TO LATE AFTERNOON.  * IMPACTS...STRONG WINDS WILL MAKE DRIVING DIFFICULT ESPECIALLY    FOR LIGHTWEIGHT AND HIGH PROFILE VEHICLES ALONG MOST ROUTES    THROUGH THE WESTERN UTAH VALLEYS INCLUDING I-15 AND I-80. 
MAR 5 2016,...WIND ADVISORY IN EFFECT FROM 6 PM THIS EVENING TO 6 PM MST SUNDAY...  THE NATIONAL WEATHER SERVICE IN SALT LAKE CITY HAS ISSUED A WIND ADVISORY...WHICH IS IN EFFECT FROM 6 PM THIS EVENING TO 6 PM MST SUNDAY.  * AFFECTED AREA...THE SALT LAKE AND TOOELE VALLEYS...THE WEST   CENTRAL AND SOUTHWEST VALLEYS OF UTAH...THE GREAT SALT LAKE   DESERT AND MOUNTAINS  * WINDS...SOUTHERLY WINDS OF 25 TO 35 MPH WITH GUSTS APPROACHING   55 MPH. WINDS WILL SHIFT TO THE NORTHWEST AND REMAIN STRONG   BEHIND A COLD FRONT CROSSING THE ADVISORY AREA ON SUNDAY.  * TIMING...SOUTHERLY WINDS WILL DEVELOP ACROSS WESTERN UTAH   TODAY...THEN INCREASE SIGNIFICANTLY THIS EVENING. THE SOUTHERLY   WINDS WILL BE STRONGEST AHEAD OF A COLD FRONT MOVING THROUGH   NORTHERN AND WESTERN UTAH SUNDAY MORNING THROUGH EARLY AFTERNOON.   STRONG NORTHWEST WINDS WILL TRAIL THE COLD FRONT...THEN DECREASE   RAPIDLY BEGINNING EARLY SUNDAY EVENING.  * IMPACTS...TRAVEL ALONG WEST TO EAST ROUTES...INCLUDING BUT NOT   LIMITED TO INTERSTATE 80...HIGHWAYS 50 AND 6 AND STATE ROUTE 30   WILL BE IMPACTED BY STRONG AND SHIFTING CROSS WINDS. HIGH   PROFILE AND LIGHT WEIGHT VEHICLES WILL BE SUBJECT TO HAZARDOUS   TRAVEL CONDITIONS TONIGHT THROUGH SUNDAY.
MAR 6 2016,...WIND ADVISORY REMAINS IN EFFECT UNTIL 6 PM MST THIS EVENING...  * AFFECTED AREA...THE SALT LAKE AND TOOELE VALLEYS...THE WEST    CENTRAL AND SOUTHWEST VALLEYS OF UTAH...THE GREAT SALT LAKE    DESERT AND MOUNTAINS.   * WINDS...SOUTHERLY WINDS OF 25 TO 35 MPH WITH GUSTS APPROACHING   55 MPH. WINDS WILL SHIFT TO THE NORTHWEST AND REMAIN STRONG   BEHIND A COLD FRONT CROSSING THE ADVISORY AREA THIS AFTERNOON.  * TIMING...SOUTHERLY WINDS ARE ON THE INCREASE ACROSS THE ADVISORY   AREA EARLY THIS MORNING. THESE WINDS WILL CONTINUE TO INCREASE   DURING THE MORNING...BECOMING QUITE STRONG AHEAD OF THE   APPROACHING COLD FRONT LATE THIS MORNING THROUGH THIS AFTERNOON.   STRONG NORTHWEST WINDS WILL EXIST IMMEDIATELY BEHIND THE COLD   FRONT...BEFORE DECREASING EARLY THIS EVENING.  * IMPACTS...TRAVEL ALONG WEST TO EAST ROUTES...INCLUDING BUT NOT    LIMITED TO INTERSTATE 80...HIGHWAYS 50 AND 6 AND STATE ROUTE    30 WILL BE IMPACTED BY STRONG AND SHIFTING CROSS WINDS. HIGH    PROFILE AND LIGHT WEIGHT VEHICLES WILL BE SUBJECT TO HAZARDOUS    TRAVEL CONDITIONS TONIGHT THROUGH SUNDAY. 
APR 21 2016,THE NATIONAL WEATHER SERVICE IN SALT LAKE CITY HAS ISSUED A WIND ADVISORY...WHICH IS IN EFFECT FROM NOON TO 10 PM MDT FRIDAY.  * AFFECTED AREA...THE GREAT SALT LAKE DESERT AND MOUNTAINS...WEST   CENTRAL UTAH...SOUTHWEST UTAH AND THE SALT LAKE AND TOOELE   VALLEYS.  * WINDS...SOUTHERLY WINDS 25 TO 35 MPH WITH FREQUENT GUSTS IN THE   45 TO 55 MPH RANGE. THE STRONGEST GUSTS ARE EXPECTED IN THE   WESTERN VALLEYS.  * TIMING...WINDS WILL INCREASE SIGNIFICANTLY FRIDAY AFTERNOON AND   REMAIN STRONG THROUGH FRIDAY EVENING. WINDS WILL GRADUALLY   DECREASE LATE FRIDAY EVENING INTO THE OVERNIGHT HOURS.  * IMPACTS...STRONG CROSS WINDS ARE EXPECTED TO EXIST ALONG   INTERSTATE 80 FROM SALT LAKE CITY TO WENDOVER...AS WELL AS OTHER   EAST TO WEST ORIENTED ROADS SUCH AS US 6 WEST OF I-15 AND   HIGHWAY 21. AREAS OF BLOWING DUST ARE EXPECTED ACROSS THE   WESTERN VALLEYS...WITH VISIBILITIES POTENTIALLY REDUCED TO UNDER   1 MILE AT TIMES FRIDAY AFTERNOON. AREAS MOST PRONE TO BLOWING   DUST ARE THE I-80 CORRIDOR IN WESTERN TOOELE COUNTY AND US 6   NEAR THE SEVIER LAKE BED.
APR 22 2016,...WIND ADVISORY REMAINS IN EFFECT UNTIL 10 PM MDT THIS EVENING...  * AFFECTED AREA...THE GREAT SALT LAKE DESERT AND MOUNTAINS...    WEST CENTRAL UTAH...SOUTHWEST UTAH AND THE SALT LAKE AND    TOOELE VALLEYS.   * WINDS...SOUTHERLY WINDS 25 TO 35 MPH WITH FREQUENT GUSTS IN   EXCESS OF 45 MPH. A COLD FRONT LATE TONIGHT WILL BRING A SHIFT   TO WEST OR NORTHWEST WINDS. WINDS WILL LIKELY NOT BE AS STRONG   AS TODAY...BUT WILL STILL BE QUITE BREEZY FOR SEVERAL HOURS AS   THE FRONT PASSES.  * TIMING...THE STRONGEST WINDS ARE EXPECTED THIS AFTERNOON...THEN   REMAINING STRONG THROUGH THIS EVENING. WINDS WILL SHIFT TO THE   WEST NORTHWEST AND GRADUALLY BEHIND A COLD FRONT LATE TONIGHT   THROUGH SATURDAY MORNING.  * IMPACTS...STRONG CROSS WINDS ARE EXPECTED TO EXIST ALONG   INTERSTATE 80 FROM SALT LAKE CITY TO WENDOVER...AS WELL AS OTHER   EAST TO WEST ORIENTED ROADS SUCH AS HIGHWAY 6 WEST OF   INTERSTATE 15 AND HIGHWAY 21. AREAS OF BLOWING DUST ARE EXPECTED   ACROSS THE WESTERN VALLEYS...WITH VISIBILITIES POTENTIALLY   REDUCED TO UNDER 1 MILE AT TIMES THIS AFTERNOON. AREAS MOST   PRONE TO BLOWING DUST ARE THE I-80 CORRIDOR IN WESTERN TOOELE   COUNTY AND US 6 NEAR THE SEVIER LAKE BED. WIND-SENSITIVE   OPERATIONS MAY ALSO BE IMPACTED.
APR 30 2016,...WIND ADVISORY IN EFFECT FROM 9 PM THIS EVENING TO 3 PM MDT SUNDAY...  THE NATIONAL WEATHER SERVICE IN SALT LAKE CITY HAS ISSUED A WIND ADVISORY...WHICH IS IN EFFECT FROM 9 PM THIS EVENING TO 3 PM MDT SUNDAY.  * AFFECTED AREA...THE EASTERN SALT LAKE VALLEY FROM PARLEYS CANYON   NORTHWARD TO THE UNIVERSITY OF UTAH AND THE AVENUES...AND UTAH   VALLEY NEAR PROVO CANYON.   * WINDS...SUSTAINED EAST WINDS BETWEEN 25 AND 35 MPH WITH GUSTS   IN EXCESS OF 50 MPH.  * TIMING...WINDS WILL INCREASE THIS EVENING...WITH THE STRONGEST   GUSTS OCCURRING LATE TONIGHT THROUGH MID MORNING SUNDAY BEFORE   DIMINISHING SUNDAY AFTERNOON.   * IMPACTS...UNSECURED LIGHT WEIGHT ITEMS WILL BE EASILY DISPLACED   IN STRONG WIND GUSTS...INCLUDING TRAMPOLINES AND LAWN   FURNITURE. SUDDEN STRONG WIND GUSTS WILL CREATE HAZARDOUS TRAVEL   CONDITIONS FOR HIGH PROFILE AND LIGHT WEIGHT   VEHICLES...ESPECIALLY IF THESE GUSTS ARE ENCOUNTERED AS CROSS   WINDS. WIND SENSITIVE OPERATIONS WILL BE AFFECTED.
MAY 1 2016,...WIND ADVISORY REMAINS IN EFFECT UNTIL 3 PM MDT THIS AFTERNOON...  * AFFECTED AREA...THE EASTERN SALT LAKE VALLEY FROM PARLEYS    CANYON NORTHWARD TO THE UNIVERSITY OF UTAH AND THE AVENUES...   THE UTAH VALLEY FROM THE SALT LAKE COUNTY LINE SOUTH TO NEAR    PROVO CANYON...AND THE CACHE VALLEY.  * WINDS...SUSTAINED EAST WINDS BETWEEN 25 AND 35 MPH WITH GUSTS IN   EXCESS OF 45 MPH...WITH THE STRONGEST WINDS OCCURRING NEAR   CANYONS.  * TIMING...GUSTY WINDS WILL CONTINUE THROUGH MID MORNING BEFORE   DIMINISHING LATE THIS MORNING THROUGH THIS AFTERNOON.  * IMPACTS...UNSECURED LIGHT WEIGHT ITEMS WILL BE EASILY DISPLACED   IN STRONG WIND GUSTS...INCLUDING TRAMPOLINES AND LAWN FURNITURE.   SUDDEN STRONG WIND GUSTS WILL CREATE HAZARDOUS TRAVEL CONDITIONS   FOR HIGH PROFILE AND LIGHT WEIGHT VEHICLES... ESPECIALLY IF   THESE GUSTS ARE ENCOUNTERED AS CROSS WINDS. WIND SENSITIVE   OPERATIONS WILL BE AFFECTED.
MAY 18 2016,THE NATIONAL WEATHER SERVICE IN SALT LAKE CITY HAS ISSUED A HIGH WIND WATCH...WHICH IS IN EFFECT FROM FRIDAY AFTERNOON THROUGH FRIDAY EVENING.  * AFFECTED AREA...THE SALT LAKE AND TOOELE VALLEYS...THE GREAT   SALT LAKE DESERT...THE SANPETE AND SEVIER VALLEYS...THE SAN   RAFAEL SWELL AND LAKE POWELL AREAS...AS WELL AS WEST   CENTRAL...SOUTHWEST AND SOUTH CENTRAL UTAH.  * WINDS...SOUTH TO SOUTHWEST 30 TO 40 MPH WITH GUSTS IN EXCESS OF   60 MPH.   * TIMING...DEVELOPING MIDDAY FRIDAY AND CONTINUING THROUGH FRIDAY   EVENING.   * IMPACTS...STRONG CROSS WINDS WILL RESULT IN HAZARDOUS TRAVEL   CONDITIONS FOR HIGH PROFILE AND LIGHT WEIGHT VEHICLES ALONG ALL   EAST-WEST ORIENTED ROADWAYS INCLUDING INTERSTATES 70 AND 80.   AREAS OF BLOWING DUST WILL SIGNIFICANTLY RESTRICT VISIBILITY.   UNSECURED LIGHT WEIGHT ITEMS MAY BE DISPLACED IN SUDDEN STRONG   WIND GUSTS...INCLUDING TRAMPOLINES AND LAWN FURNITURE. WIND   SENSITIVE OPERATIONS WILL BE AFFECTED. 
MAY 19 2016,THE NATIONAL WEATHER SERVICE IN SALT LAKE CITY HAS ISSUED A HIGH WIND WARNING...WHICH IS IN EFFECT FROM NOON TO 10 PM MDT FRIDAY. THE HIGH WIND WATCH IS NO LONGER IN EFFECT.  * AFFECTED AREA...THE SALT LAKE AND TOOELE VALLEYS...THE GREAT   SALT LAKE DESERT...WEST CENTRAL AND SOUTHWEST UTAH.  * WINDS...SOUTH TO SOUTHWEST 30 TO 40 MPH WITH GUSTS IN EXCESS    OF 60 MPH.  * TIMING...DEVELOPING LATE FRIDAY MORNING AND CONTINUING THROUGH   FRIDAY EVENING.  * IMPACTS...STRONG CROSS WINDS WILL RESULT IN HAZARDOUS TRAVEL   CONDITIONS FOR HIGH PROFILE AND LIGHT WEIGHT VEHICLES ALONG ALL   EAST-WEST ORIENTED ROADWAYS INTERSTATE 80 AND US-50. AREAS OF   BLOWING DUST WILL SIGNIFICANTLY RESTRICT VISIBILITY. ROUGH   WATERS WILL DEVELOP ON THE GREAT SALT LAKE. UNSECURED LIGHT   WEIGHT ITEMS MAY BE DISPLACED IN SUDDEN STRONG WIND   GUSTS...INCLUDING TRAMPOLINES AND LAWN FURNITURE. WIND SENSITIVE   OPERATIONS WILL BE AFFECTED.
MAY 20 2016,...HIGH WIND WARNING REMAINS IN EFFECT FROM NOON TODAY TO 10 PM MDT THIS EVENING...  * AFFECTED AREA...THE SALT LAKE AND TOOELE VALLEYS...THE GREAT    SALT LAKE DESERT...WEST CENTRAL AND SOUTHWEST UTAH.  * WINDS...SOUTH TO SOUTHWEST 30 TO 40 MPH WITH GUSTS IN EXCESS    OF 60 MPH.  * TIMING...DEVELOPING ACROSS SOUTHWEST AND WEST CENTRAL UTAH BY   MID MORNING AND SPREADING NORTH TO COVER ALL AREAS BY LATE THIS   MORNING. WINDS WILL CONTINUE INTO THIS EVENING THEN DIMINISH.  * IMPACTS...STRONG CROSS WINDS WILL RESULT IN HAZARDOUS TRAVEL   CONDITIONS FOR HIGH PROFILE AND LIGHT WEIGHT VEHICLES ALONG ALL   EAST-WEST ORIENTED ROADWAYS INCLUDING INTERSTATE 80 AND US-50.   AREAS OF BLOWING DUST WILL SIGNIFICANTLY RESTRICT VISIBILITY.   ROUGH WATERS WILL DEVELOP ON THE GREAT SALT LAKE. UNSECURED   LIGHT WEIGHT ITEMS MAY BE DISPLACED IN SUDDEN STRONG WIND   GUSTS...INCLUDING TRAMPOLINES AND LAWN FURNITURE.
JUN 14 2016,THE NATIONAL WEATHER SERVICE IN SALT LAKE CITY HAS ISSUED A WIND ADVISORY...WHICH IS IN EFFECT FROM 10 AM TO 10 PM MDT WEDNESDAY.  * AFFECTED AREA...THE SALT LAKE AND TOOELE VALLEYS...THE WEST   CENTRAL AND SOUTHWEST VALLEYS...THE SOUTHERN WASATCH FRONT...AND   THE GREAT SALT LAKE DESERT AND MOUNTAINS.  * WINDS...SOUTH TO SOUTHWEST 20 TO 30 MPH WITH GUST NEAR 50 MPH  * TIMING...WINDS WILL BECOME STRONG OUT OF THE SOUTH LATE   WEDNESDAY MORNING...THEN REMAIN STRONG THROUGH MID-EVENING   WEDNESDAY.  * IMPACTS...STRONG CROSS WINDS ON ALL ROUTES THROUGH THE ADVISORY   AREA WILL CREATE HAZARDOUS TRAVEL CONDITIONS FOR HIGH PROFILE   AND LIGHT WEIGHT VEHICLES. MAJOR ROUTES SUCH AS INTERSTATE 80   THROUGH TOOELE COUNTY AND HIGHWAYS 6 AND 50 WILL BE IMPACTED.
