EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
616672,WASATCH MOUNTAINS I-80 NORTH (ZONE), ,01/29/2016,1200,Winter Storm, , ,0,0,0,0,UT,MST-7, ,103196,Z,7,SLC,0,0,Trained Spotter, , , , , , , , ,01/31/2016,700, , , , ,"Storm total snowfall reports included 18 inches at Powder Mountain and 12 inches at Snowbasin Resort. In addition, the Ben Lomond Peak SNOTEL received 2.50 inches of liquid equivalent precipitation, or approximately 25 inches of new snow.","After a month of primarily quick-hitting storms, a longer duration winter storm moved through Utah at the end of January, bringing heavy snow to much of the state. The initial burst of precipitation began across northern Utah on January 29, peaking during the morning hours of January 30. After a brief break, snow redeveloped further south in the state during the afternoon of January 30, then continued through February 2. Note that this episode continued into February.",11
616673,WASATCH MOUNTAINS SOUTH OF I-80 (ZONE), ,01/29/2016,1300,Winter Storm, , ,0,0,0,0,UT,MST-7, ,103196,Z,8,SLC,0,0,Trained Spotter, , , , , , , , ,01/31/2016,0, , , , ,"Storm total snow reports included 18 inches at Brighton Resort, 14 inches at Alta Ski Lifts, an 13 inches at Snowbird Ski and Summer Resort.","After a month of primarily quick-hitting storms, a longer duration winter storm moved through Utah at the end of January, bringing heavy snow to much of the state. The initial burst of precipitation began across northern Utah on January 29, peaking during the morning hours of January 30. After a brief break, snow redeveloped further south in the state during the afternoon of January 30, then continued through February 2. Note that this episode continued into February.",12
616663,WASATCH MOUNTAINS SOUTH OF I-80 (ZONE), ,01/31/2016,1700,Avalanche, , ,1,0,0,0,UT,MST-7, ,103196,Z,8,SLC,0,0,Other Federal Agency, , , , , , , , ,01/31/2016,1700, , , , ,"A 50-year-old male skier went missing in the Park City area on the afternoon of January 31. After two days of searching, his body was eventually found along Rip's Ridge, where he apparently had triggered an avalanche, and had been buried and killed.","After a month of primarily quick-hitting storms, a longer duration winter storm moved through Utah at the end of January, bringing heavy snow to much of the state. The initial burst of precipitation began across northern Utah on January 29, peaking during the morning hours of January 30. After a brief break, snow redeveloped further south in the state during the afternoon of January 30, then continued through February 2. Note that this episode continued into February.",13
621443,WASATCH MOUNTAINS I-80 NORTH (ZONE), ,02/17/2016,1200,High Wind,92.00, ,0,0,0,0,UT,MST-7,MG,103891,Z,7,SLC,0,0,Mesonet, , , , , , , , ,02/18/2016,1200, , , , ,"The strongest recorded wind gusts in the northern Wasatch Mountains included 106 mph at Ogden Peak, 102 mph at the Snowbasin-Straw Top sensor, 88 mph at the State Route 65 at Big Mountain Pass sensor, and 84 mph at the Snowbasin - Wildcat sensor. The winds impacted several mountain resorts, which either had to shut down some of their lifts or close early.","Very strong winds developed across much of western Utah on February 17 and 18. These winds caused significant damage in some locations, particularly with the passage of the cold front on February 18.",14
621407,SALT LAKE AND TOOELE VALLEYS (ZONE), ,02/17/2016,1900,High Wind,64.00, ,0,0,200000,0,UT,MST-7,MG,103891,Z,3,SLC,0,0,Mesonet, , , , , , , , ,02/18/2016,1200, , , , ,"The strongest recorded wind gusts in the Salt Lake and Tooele valleys included 74 mph at the Great Salt Lake Marina, 72 mph in Sandy, 71 mph in Tooele, 63 mph in Olympus Hills, 61 mph at the interchange of Interstate 15 and Interstate 215, and numerous gusts in the 50-60 mph range. UDOT periodically banned semitrailer rigs along Interstate 80, but one semitrailer was still knocked over by strong winds near Grantsville. In Salt Lake City, scaffolding collapsed on an assisted living center being built; no one was injured, but debris from the incident covered the road and forced the closure of the northbound lanes of Foothill Drive and Parleys Way during the morning commute. At Salt Lake City International Airport, winds caused some flight delays, and seven flights were diverted to other cities. Power outages were common across the area due to downed trees and power lines. The hardest hit area with regard to trees was the Tooele Cemetery, where several large 100-year-old  trees were blown over. Damage to fences, siding, and trampolines was also common across the area.","Very strong winds developed across much of western Utah on February 17 and 18. These winds caused significant damage in some locations, particularly with the passage of the cold front on February 18.",15
621444,WASATCH MOUNTAINS SOUTH OF I-80 (ZONE), ,02/17/2016,1900,High Wind,82.00, ,0,0,20000,0,UT,MST-7,MG,103891,Z,8,SLC,0,0,Mesonet, , , , , , , , ,02/18/2016,1200, , , , ,"Peak recorded wind gusts in the Wasatch Mountains south of Interstate 80 included 94 mph at the Arrowhead Summit sensor at Sundance Mountain Resort, 89 mph at the Park City - Jupiter sensor, 84 mph at Reynolds Peak, 81 mph at Mt. Baldy, 80 mph at the Dreamscape Study Plot, and 79 mph at the Torpedo Hill - Big Cottonwood Canyon sensor. The winds impacted several mountain resorts, which either had to shut down some of their lifts or close early. Several downed trees were reported across the area, particularly at Brighton Resort.","Very strong winds developed across much of western Utah on February 17 and 18. These winds caused significant damage in some locations, particularly with the passage of the cold front on February 18.",16
621413,GREAT SALT LAKE DESERT AND MOUNTAINS (ZONE), ,02/17/2016,2000,High Wind,65.00, ,0,0,0,0,UT,MST-7,MG,103891,Z,5,SLC,0,0,Mesonet, , , , , , , , ,02/18/2016,1200, , , , ,"Winds were strong across Utah's northwest desert, particularly at the Dugway Proving Ground. The Proving Ground's mesonet recorded wind gusts of 75 mph at Romeo and Centerline, 72 mph at Camel Back Mountain, 69 mph at Upper Cedar Mountain, and 66 mph at Target R. Other strong wind gusts across the area included 62 mph at Hat Island and 60 mph at Interstate 80 at Milepost 1. Numerous other gusts in the 50-60 mph range were reported.","Very strong winds developed across much of western Utah on February 17 and 18. These winds caused significant damage in some locations, particularly with the passage of the cold front on February 18.",17
626217,SALT LAKE AND TOOELE VALLEYS (ZONE), ,03/06/2016,430,High Wind,53.00, ,0,0,0,0,UT,MST-7,MG,104114,Z,3,SLC,0,0,Mesonet, , , , , , , , ,03/06/2016,1030, , , , ,"Peak recorded wind gusts in the Salt Lake and Tooele Valleys included 61 mph at Vernon Hill and 59 mph in Draper.","A strong Pacific cold front moved across Utah on March 6, with gusty winds observed both ahead of and behind the front.",18
626219,GREAT SALT LAKE DESERT AND MOUNTAINS (ZONE), ,03/06/2016,1430,High Wind,59.00, ,0,0,0,0,UT,MST-7,MG,104114,Z,5,SLC,0,0,Mesonet, , , , , , , , ,03/06/2016,1730, , , , ,"Peak recorded wind gusts included 68 mph at Lakeside Mountain, 65 mph at Upper Cedar Mountain, 61 mph at the I-80 at Grassey sensor, 61 mph at Camel Back Mountain, 60 mph at Hat Island, and many other recorded gusts in the 50-60 mph range.","A strong Pacific cold front moved across Utah on March 6, with gusty winds observed both ahead of and behind the front.",19
626228,WASATCH MOUNTAINS I-80 NORTH (ZONE), ,03/13/2016,1300,Winter Storm, , ,0,0,0,0,UT,MST-7, ,104545,Z,7,SLC,0,0,SNOTEL, , , , , , , , ,03/16/2016,1900, , , , ,"The Tony Grove Lake SNOTEL received 2.70 inches of liquid equivalent precipitation, or approximately 27 inches of snow. Powder Mountain received 18 inches of new snow. In addition, winds were strong on March 14, with a maximum wind gust of 90 mph on Ogden Peak.","A series of weather disturbances rotated through Utah over a 3-day period, producing heavy snowfall over Utah's northern mountains, as well as gusty winds with the primary cold frontal passage on March 14.",20
626229,WASATCH MOUNTAINS SOUTH OF I-80 (ZONE), ,03/13/2016,1400,Winter Storm, , ,0,0,0,0,UT,MST-7, ,104545,Z,8,SLC,0,0,Trained Spotter, , , , , , , , ,03/16/2016,1900, , , , ,"Storm total snowfall included 29 inches at Brighton Resort and 20 inches at Alta Ski Lifts.","A series of weather disturbances rotated through Utah over a 3-day period, producing heavy snowfall over Utah's northern mountains, as well as gusty winds with the primary cold frontal passage on March 14.",21
626226,GREAT SALT LAKE DESERT AND MOUNTAINS (ZONE), ,03/14/2016,1045,High Wind,56.00, ,0,0,0,0,UT,MST-7,MG,104545,Z,5,SLC,0,0,Mesonet, , , , , , , , ,03/14/2016,1225, , , , ,"The strongest winds in Utah's northwest desert occurred behind the cold front, with a maximum recorded gust of 65 mph at Promontory Point. Peak gusts in the Dugway Proving Ground mesonet included 62 mph at Camel Back Mountain and 58 mph at Causeway.","A series of weather disturbances rotated through Utah over a 3-day period, producing heavy snowfall over Utah's northern mountains, as well as gusty winds with the primary cold frontal passage on March 14.",22
626334,GREAT SALT LAKE DESERT AND MOUNTAINS (ZONE), ,03/27/2016,2000,Winter Storm, , ,0,0,0,0,UT,MST-7, ,104548,Z,5,SLC,0,0,SNOTEL, , , , , , , , ,03/30/2016,100, , , , ,"The George Creek SNOTEL received 2.70 inches of liquid equivalent precipitation, or approximately 27 inches of new snow.","A strong winter storm moved through Utah during the last few days of the month, producing strong winds as well as heavy snowfall in both northern and southern Utah.",23
626335,WASATCH MOUNTAINS I-80 NORTH (ZONE), ,03/28/2016,300,Winter Storm, , ,0,0,0,0,UT,MST-7, ,104548,Z,7,SLC,0,0,Trained Spotter, , , , , , , , ,03/30/2016,1900, , , , ,"Powder Mountain received a storm total of 27 inches of snow.","A strong winter storm moved through Utah during the last few days of the month, producing strong winds as well as heavy snowfall in both northern and southern Utah.",24
628230,GREAT SALT LAKE DESERT AND MOUNTAINS (ZONE), ,04/22/2016,1425,High Wind,58.00, ,0,0,0,0,UT,MST-7,MG,104896,Z,5,SLC,0,0,Mesonet, , , , , , , , ,04/23/2016,640, , , , ,"The strongest winds in Utah's northwest desert developed ahead of the cold front, with peak recorded gusts of 67 mph at the Groome sensor, 66 mph at Wig Mountain, 62 mph at Camel Back Mountain, and 59 mph at both Playa Station and the Wendover Point of Entry. In addition, strong post-frontal winds developed near the Utah/Idaho border, with a peak wind gust of 59 mph at the Interstate 80 at Milepost 1 sensor.","Strong, gusty winds developed in western Utah both ahead of and behind a cold front.",25
638298,SALT LAKE CO.,(SLC)SALT LAKE CITY,05/06/2016,1500,Thunderstorm Wind,56.00, ,0,0,0,0,UT,MST-7,MG,106291,C,35,SLC,0,0,Trained Spotter, , , ,5,NNW,5,NNW,(SLC)SALT LAKE CITY,05/06/2016,1500,40.84,-112.01,40.84,-112.01,"A 64 mph wind gust was recorded at the Saltaire sensor.","A moist air mass, combined with a few weather disturbances, helped produce scattered showers and thunderstorms across Utah in early May. The stronger thunderstorms produced gusty winds and large hail.",26
638292,SALT LAKE CO.,HOLLADAY,05/09/2016,1434,Hail,0.75, ,0,0,0,0,UT,MST-7, ,106291,C,35,SLC,0,0,Public, , , ,0,N,0,N,HOLLADAY,05/09/2016,1434,40.67,-111.82,40.67,-111.82,"Hail with a diameter of a penny was reported in Holladay.","A moist air mass, combined with a few weather disturbances, helped produce scattered showers and thunderstorms across Utah in early May. The stronger thunderstorms produced gusty winds and large hail.",27
644869,SALT LAKE CO.,SALT LAKE NO TWO ARP,06/13/2016,1115,Hail,1.00, ,0,0,0,0,UT,MST-7, ,107600,C,35,SLC,0,0,Public, , , ,1,SSW,1,ESE,HUNTER,06/13/2016,1125,40.6,-112.01,40.69,-112.01,"Several members of the public reported and took photographs of quarter-sized hail in West Valley City and West Jordan.","Strong thunderstorms developed across Utah on June 8 through June 13, with some of these storms producing large hail and gusty winds.",28
644870,SALT LAKE CO.,SALT LAKE NO TWO ARP,06/13/2016,1137,Hail,1.75, ,0,0,0,0,UT,MST-7, ,107600,C,35,SLC,0,0,Broadcast Media, , , ,2,NNW,1,ESE,HUNTER,06/13/2016,1158,40.65,-112.01,40.69,-112.01,"Multiple reports of ping pong ball- to golf ball-sized hail were received in West Valley City.","Strong thunderstorms developed across Utah on June 8 through June 13, with some of these storms producing large hail and gusty winds.",29
644872,SALT LAKE CO.,MIDVALE,06/13/2016,1225,Hail,0.88, ,0,0,0,0,UT,MST-7, ,107600,C,35,SLC,0,0,Trained Spotter, , , ,1,N,1,N,MIDVALE,06/13/2016,1225,40.61,-111.9,40.61,-111.9,"Nickel-sized hail was reported in Midvale.","Strong thunderstorms developed across Utah on June 8 through June 13, with some of these storms producing large hail and gusty winds.",30
644874,SALT LAKE CO.,EAST MILL CREEK,06/13/2016,1250,Hail,0.75, ,0,0,0,0,UT,MST-7, ,107600,C,35,SLC,0,0,NWS Employee, , , ,1,S,1,S,EAST MILL CREEK,06/13/2016,1250,40.69,-111.82,40.69,-111.82,"Hail the size of pennies was reported in Holladay.","Strong thunderstorms developed across Utah on June 8 through June 13, with some of these storms producing large hail and gusty winds.",31
644888,SALT LAKE CO.,COTTONWOOD HGTS,06/29/2016,1710,Thunderstorm Wind,53.00, ,0,0,0,0,UT,MST-7,MG,107601,C,35,SLC,0,0,Mesonet, , , ,4,E,4,E,COTTONWOOD HGTS,06/29/2016,1710,40.61,-111.73,40.61,-111.73,"A 61 mph wind gust was recorded at the S-Turns sensor in Big Cottonwood Canyon.","Scattered showers and thunderstorms developed across much of Utah at the end of June. These storms primarily produced strong, gusty winds in northern Utah, while heavy rain in southern Utah caused flash flooding.",32
653884,SALT LAKE AND TOOELE VALLEYS (ZONE), ,07/19/2016,2145,Wildfire, , ,0,11,3000000,0,UT,MST-7, ,109177,Z,3,SLC,0,0,Newspaper, , , , , , , , ,07/20/2016,500, , , , ,"An arsonist intentionally set fire to a field in Tooele on the night of July 19. The fire spread quickly into a nearby neighborhood due to gusty winds, with gusts generally in the 25-35 mph range. By the time firefighters had controlled the blaze by the morning of July 20, the fire had destroyed 10 homes and caused significant damage to 8 other homes. In addition, about eight cars and at least five outbuildings were destroyed. The fire also consumed trees and vinyl fences. Ten people were treated at the hospital for smoke inhalation, and at least three of those were first responders. One person was treated for a head injury from a fall related to the fire.","On July 19, an arsonist intentionally set fire to a field in Tooele. Fanned by strong wind gusts, the fire was pushed to a nearby neighborhood, destroying and damaging several homes.",33
656644,SALT LAKE CO.,DALTON,08/02/2016,1750,Thunderstorm Wind,51.00, ,0,0,0,0,UT,MST-7,MG,109765,C,35,SLC,0,0,Mesonet, , , ,1,NE,1,NE,DALTON,08/02/2016,1750,40.5823,-112.0304,40.5823,-112.0304,"A peak wind gust of 59 mph was recorded at the State Route 85 at Dannon Way sensor.","Scattered thunderstorms developed across Utah during the first week of August, bringing strong, gusty winds to primarily northern Utah, and flash flooding to southern Utah.",34
657988,SALT LAKE CO.,NASH,08/06/2016,1311,Hail,1.00, ,0,0,0,0,UT,MST-7, ,110060,C,35,SLC,0,0,Public, , , ,2,NE,2,NE,NASH,08/06/2016,1311,40.49,-111.89,40.49,-111.89,"A member of the public reported and took a picture of quarter-sized hail in Draper.","More thunderstorms formed across northern Utah on August 6 and 7, producing both severe hail and strong wind gusts.",35
658024,SALT LAKE CO.,REDWOOD,08/10/2016,1420,Hail,0.75, ,0,0,0,0,UT,MST-7, ,110067,C,35,SLC,0,0,State Official, , , ,2,ESE,2,ESE,REDWOOD,08/10/2016,1420,40.71,-111.9,40.71,-111.9,"Penny-sized hail was reported in South Salt Lake.","Strong thunderstorms brought flash flooding to southern Utah, as well as many reports of large hail across both northern and southern Utah.",36
658273,GREAT SALT LAKE DESERT AND MOUNTAINS (ZONE), ,08/15/2016,1150,High Wind,63.00, ,0,0,0,0,UT,MST-7,MG,110139,Z,5,SLC,0,0,Mesonet, , , , , , , , ,08/15/2016,1425, , , , ,"Peak wind gusts in the Dugway Proving Ground mesonet included 73 mph at Diddle Knoll, 66 mph at English Village, and 64 mph at Simpson Springs.","A combination of synoptic wind gusts and scattered thunderstorms created strong gusty winds in Utah's northwest desert.",37
660526,SALT LAKE CO.,SALTAIR,09/22/2016,1500,Thunderstorm Wind,51.00, ,0,0,0,0,UT,MST-7,MG,110619,C,35,SLC,0,0,Mesonet, , , ,2,SW,2,SW,SALTAIR,09/22/2016,1500,40.75,-112.13,40.75,-112.13,"A 59 mph wind gust was reported at the Center Tailings mesonet site.","A strong and moist Pacific storm brought widespread precipitation and severe weather to Utah. Two tornadoes were reported on September 22, and other significant impacts included strong gusty winds, large hail, and widespread flash flooding.",38
662394,SALT LAKE CO.,DALTON,10/02/2016,1955,Thunderstorm Wind,62.00, ,0,0,0,0,UT,MST-7,MG,110998,C,35,SLC,0,0,Mesonet, , , ,1,SW,1,SW,DALTON,10/02/2016,1955,40.56,-112.06,40.56,-112.06,"The Trans-Jordan Landfill mesonet sensor recorded a peak wind gust of 71 mph.","A strong cold front moved through Utah in the beginning of October. Thunderstorms developed both ahead of and along this front, with several storms producing strong gusty winds. Some storms also produced heavy rain, with flash flooding reported in Capitol Reef National Park.",39
662396,SALT LAKE CO.,SALT LAKE NO TWO ARP,10/02/2016,2000,Thunderstorm Wind,64.00, ,0,0,0,0,UT,MST-7,MG,110998,C,35,SLC,0,0,Mesonet, , , ,3,WNW,3,WNW,SALT LAKE NO TWO ARP,10/02/2016,2000,40.63,-112.06,40.63,-112.06,"The Baccus Highway sensor recorded a maximum wind gust of 74 mph.","A strong cold front moved through Utah in the beginning of October. Thunderstorms developed both ahead of and along this front, with several storms producing strong gusty winds. Some storms also produced heavy rain, with flash flooding reported in Capitol Reef National Park.",40
662395,SALT LAKE CO.,DALTON,10/02/2016,2000,Thunderstorm Wind,50.00, ,0,0,0,0,UT,MST-7,MG,110998,C,35,SLC,0,0,Mesonet, , , ,1,ENE,1,ENE,DALTON,10/02/2016,2000,40.58,-112.03,40.58,-112.03,"A 58 mph wind gust was reported at the Mountain View at Dannon Way sensor.","A strong cold front moved through Utah in the beginning of October. Thunderstorms developed both ahead of and along this front, with several storms producing strong gusty winds. Some storms also produced heavy rain, with flash flooding reported in Capitol Reef National Park.",41
662397,SALT LAKE CO.,SALT LAKE NO TWO ARP,10/02/2016,2000,Thunderstorm Wind,51.00, ,0,0,0,0,UT,MST-7,MG,110998,C,35,SLC,0,0,Mesonet, , , ,3,NW,3,NW,SALT LAKE NO TWO ARP,10/02/2016,2000,40.65,-112.04,40.65,-112.04,"The Portable RWIS 1 sensor recorded a peak wind gust of 59 mph.","A strong cold front moved through Utah in the beginning of October. Thunderstorms developed both ahead of and along this front, with several storms producing strong gusty winds. Some storms also produced heavy rain, with flash flooding reported in Capitol Reef National Park.",42
662400,SALT LAKE AND TOOELE VALLEYS (ZONE), ,10/16/2016,120,High Wind,61.00, ,0,0,0,0,UT,MST-7,MG,110999,Z,3,SLC,0,0,Mesonet, , , , , , , , ,10/17/2016,250, , , , ,"Peak recorded wind gusts included 70 mph at Vernon Hill, 63 mph at the State Route 201 at Interstate 80 sensor, 61 mph at the Great Salt Lake Marina, and 58 mph at Point of the Mountain.","Gusty winds developed both ahead of and behind a cold front, with the strongest winds in the Salt Lake Valley.",43
662410,GREAT SALT LAKE DESERT AND MOUNTAINS (ZONE), ,10/30/2016,1445,High Wind,63.00, ,0,0,0,0,UT,MST-7,MG,111006,Z,5,SLC,0,0,Mesonet, , , , , , , , ,10/30/2016,2340, , , , ,"Peak recorded wind gusts across the Great Salt Lake Desert included 72 mph at the Causeway sensor, 69 mph at Upper Cedar Mountain, 66 mph at the Interstate 80 at Grassey sensor, 61 mph at the West of Wildcat Mountain sensor, 60 mph at Gunnison Island, and 59 mph at Promontory Point.","A Pacific storm system brought strong, gusty winds to western Utah over the last two days of October.",44
662409,SALT LAKE AND TOOELE VALLEYS (ZONE), ,10/30/2016,1600,High Wind,63.00, ,0,0,0,0,UT,MST-7,MG,111006,Z,3,SLC,0,0,Mesonet, , , , , , , , ,10/31/2016,130, , , , ,"Strong winds were recorded in the Salt Lake and Tooele Valleys both ahead of and behind the cold front, including gusts of 73 mph at the Interstate 80 at Milepost 78 sensor, 69 mph in Tooele, 67 mph at Vernon Hill, 65 mph at both the Great Salt Lake Marina and Stockton Bar, and 60 mph at Point of the Mountain.","A Pacific storm system brought strong, gusty winds to western Utah over the last two days of October.",45
667213,WASATCH MOUNTAINS SOUTH OF I-80 (ZONE), ,11/27/2016,400,Winter Storm, , ,0,0,0,0,UT,MST-7, ,111861,Z,8,SLC,0,0,Trained Spotter, , , , , , , , ,11/29/2016,800, , , , ,"Storm total snowfall included 44 inches at Snowbird Ski & Summer Resort, 40 inches at Alta Ski Area, 35 inches at Canyons Village, and 33 inches at Brighton Resort.","Utah experienced its first major snowstorm of the 2016-17 winter at the end of November, with both the mountains and valleys receiving significant amounts of snow over a 2-3 day period.",46
667209,WASATCH MOUNTAINS I-80 NORTH (ZONE), ,11/27/2016,400,Winter Storm, , ,0,0,0,0,UT,MST-7, ,111861,Z,7,SLC,0,0,Trained Spotter, , , , , , , , ,11/29/2016,800, , , , ,"Storm totals included 28 inches of snow at Powder Mountain and 21 inches at Snowbasin Resort.","Utah experienced its first major snowstorm of the 2016-17 winter at the end of November, with both the mountains and valleys receiving significant amounts of snow over a 2-3 day period.",47
