BEGIN_DATE,Low,High,Precipitation,snow,snowdepth,windgust,windspeed,cloudcover,visibility,conditions,description,Sum_Crashes,Sum_Fatalities,text
2/5/2016,26.9,38.3,0.02,0.1,7.31,,8.9,74.6,8,"Snow, Partially cloudy",Partly cloudy throughout the day with early morning snow.,36,36,Partly cloudy throughout the day with early morning snow.
2/6/2016,21.9,40.1,0,0,7.03,20.8,13.4,46.3,8.8,Partially cloudy,Partly cloudy throughout the day.,37,37,Partly cloudy throughout the day.
2/7/2016,23.9,38.6,0,0,6.81,,8.4,53.9,6.2,Partially cloudy,Partly cloudy throughout the day.,38,38,Partly cloudy throughout the day.
2/8/2016,22.8,38.7,0,0,6.35,,8.1,44.2,6.2,Partially cloudy,Partly cloudy throughout the day.,39,39,Partly cloudy throughout the day.
2/9/2016,24.9,39.5,0,0,6.03,,8.6,6.4,4.1,Clear,Clear conditions throughout the day.,40,40,Clear conditions throughout the day.
2/10/2016,26.9,33.1,0,0.53,6.1,,9.7,90.2,1,Overcast,Cloudy skies throughout the day.,41,41,Cloudy skies throughout the day.
2/11/2016,27.9,33.1,0,0,5.82,,10.1,95.5,1.8,Overcast,Cloudy skies throughout the day.,42,42,Cloudy skies throughout the day.
2/12/2016,28.8,33.9,0.01,0,4.77,,10,96.9,1.9,"Snow, Overcast",Cloudy skies throughout the day with morning rain.,43,43,Cloudy skies throughout the day with morning rain.
2/13/2016,28.1,35.8,0,0.1,3.97,,11.1,78.3,1.4,Partially cloudy,Partly cloudy throughout the day.,44,44,Partly cloudy throughout the day.
2/14/2016,28.9,42.7,0.1,0.06,3.96,,12.5,91.3,2.1,"Snow, Overcast",Cloudy skies throughout the day with snow.,45,45,Cloudy skies throughout the day with snow.
2/15/2016,38,55.8,0,0,3.72,,10.2,83,8.6,Partially cloudy,Partly cloudy throughout the day.,46,46,Partly cloudy throughout the day.
2/16/2016,37.9,57.5,0,0,3.53,,13.5,66.8,9.9,Partially cloudy,Partly cloudy throughout the day.,47,47,Partly cloudy throughout the day.
2/17/2016,37.1,60.3,0,0,3.32,39.1,26,89.7,9.9,Partially cloudy,Partly cloudy throughout the day.,48,48,Partly cloudy throughout the day.
2/18/2016,33.2,56.5,0.29,0.51,1.04,51.7,36,81.4,8.9,"Snow, Partially cloudy",Partly cloudy throughout the day with afternoon snow.,49,49,Partly cloudy throughout the day with afternoon snow.
2/19/2016,34,55.8,0,0.3,0.81,29.9,20.5,53.4,9.9,Partially cloudy,Partly cloudy throughout the day.,50,50,Partly cloudy throughout the day.
2/20/2016,37,48.7,0,0,0.27,,12.8,62.4,9.9,Partially cloudy,Partly cloudy throughout the day.,51,51,Partly cloudy throughout the day.
2/21/2016,30.9,48.7,0,0,0,,9.9,62,9.9,Partially cloudy,Partly cloudy throughout the day.,52,52,Partly cloudy throughout the day.
2/22/2016,34,43,0.01,0,0,25.3,16.9,73.3,9.7,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,53,53,Partly cloudy throughout the day with morning rain.
2/23/2016,28.2,44,0,0,0,,10.1,25.6,9.9,Partially cloudy,Partly cloudy throughout the day.,54,54,Partly cloudy throughout the day.
2/24/2016,29,49.7,0,0,0,,11.1,50.3,9.9,Partially cloudy,Partly cloudy throughout the day.,55,55,Partly cloudy throughout the day.
2/25/2016,30,53.8,0,0,0,,10.3,20.9,9.9,Partially cloudy,Partly cloudy throughout the day.,56,56,Partly cloudy throughout the day.
2/26/2016,33.2,61.7,0,0,0,,9.3,27.6,9.9,Partially cloudy,Partly cloudy throughout the day.,57,57,Partly cloudy throughout the day.
2/27/2016,39.8,64.6,0,0,0,32.8,22.9,68.3,9.9,Partially cloudy,Partly cloudy throughout the day.,58,58,Partly cloudy throughout the day.
2/28/2016,33.1,56.8,0,0,0,,8.3,49.3,9.9,Partially cloudy,Becoming cloudy in the afternoon.,59,59,Becoming cloudy in the afternoon.
2/29/2016,38.8,52.9,0,0,0,17.2,10.4,68.5,9.9,Partially cloudy,Partly cloudy throughout the day.,60,60,Partly cloudy throughout the day.
3/1/2016,35.1,60.9,0,0,0,,14.6,72.4,9.9,Partially cloudy,Partly cloudy throughout the day.,61,61,Partly cloudy throughout the day.
3/2/2016,41.1,58.9,0,0,0,31.1,22.3,53.7,9.9,Partially cloudy,Clearing in the afternoon.,62,62,Clearing in the afternoon.
3/3/2016,38,67.5,0,0,0,,14.8,69.9,9.9,Partially cloudy,Partly cloudy throughout the day.,63,63,Partly cloudy throughout the day.
3/4/2016,43.1,66.6,0,0,0,,12.4,72.7,9.9,Partially cloudy,Partly cloudy throughout the day.,64,64,Partly cloudy throughout the day.
3/5/2016,51.2,66.7,0,0,0,20.8,16.9,80.5,9.9,Partially cloudy,Partly cloudy throughout the day.,65,65,Partly cloudy throughout the day.
3/6/2016,34.1,60.7,0.53,0.53,0.53,44.6,24.7,85.7,8.6,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,66,66,Partly cloudy throughout the day with snow.
3/7/2016,34,48.7,0.03,0.32,0.85,,9.1,56.3,9.5,"Snow, Partially cloudy",Partly cloudy throughout the day with early morning snow.,67,67,Partly cloudy throughout the day with early morning snow.
3/8/2016,31.9,51.9,0,0,0.28,25.3,9.4,31.3,9.9,Partially cloudy,Partly cloudy throughout the day.,68,68,Partly cloudy throughout the day.
3/9/2016,39.7,51.9,0.04,0,0,,12.3,81.9,9.9,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,69,69,Partly cloudy throughout the day with rain clearing later.
3/10/2016,40.9,66.7,0,0,0,,18,66.2,9.9,Partially cloudy,Partly cloudy throughout the day.,70,70,Partly cloudy throughout the day.
3/11/2016,50.9,65,0,0,0,33.3,26.2,70.9,9.9,Partially cloudy,Partly cloudy throughout the day.,71,71,Partly cloudy throughout the day.
3/12/2016,46,60,0,0,0,18.3,14.8,78.8,9.9,Partially cloudy,Partly cloudy throughout the day.,72,72,Partly cloudy throughout the day.
3/13/2016,42.1,60,0,0,0,24.2,14.8,79.3,9.9,Partially cloudy,Partly cloudy throughout the day.,73,73,Partly cloudy throughout the day.
3/14/2016,34,55.8,0.23,0,0,40.8,20.6,92.1,8.9,"Rain, Overcast",Cloudy skies throughout the day with rain.,74,74,Cloudy skies throughout the day with rain.
3/15/2016,33.9,40.7,0,0,0,,10.9,90,9.5,Partially cloudy,Partly cloudy throughout the day.,75,75,Partly cloudy throughout the day.
3/16/2016,30.8,51,0,0,0,21.9,10.3,65.1,9.6,Partially cloudy,Partly cloudy throughout the day.,76,76,Partly cloudy throughout the day.
3/17/2016,39.7,53.8,0,0,0,28.9,16.9,72.4,9.9,Partially cloudy,Partly cloudy throughout the day.,77,77,Partly cloudy throughout the day.
3/18/2016,30.7,48.6,0,0,0,,14.5,57.8,9.9,Partially cloudy,Becoming cloudy in the afternoon.,78,78,Becoming cloudy in the afternoon.
3/19/2016,30.8,56.8,0,0,0,26.4,9,33.4,9.9,Partially cloudy,Partly cloudy throughout the day.,79,79,Partly cloudy throughout the day.
3/20/2016,35.2,69.8,0,0,0,27.7,12.4,35.9,9.9,Partially cloudy,Becoming cloudy in the afternoon.,80,80,Becoming cloudy in the afternoon.
3/21/2016,51,65.7,0,1.97,1.97,25.3,18.3,84,9.9,Partially cloudy,Partly cloudy throughout the day.,81,81,Partly cloudy throughout the day.
3/22/2016,33.2,60.9,0.47,1.28,3.15,34.4,21.3,95.5,7.9,"Snow, Overcast",Cloudy skies throughout the day with a chance of snow throughout the day.,82,82,Cloudy skies throughout the day with a chance of snow throughout the day.
3/23/2016,35.8,47.8,0,0.06,0.39,33.3,15.8,82,9.9,Partially cloudy,Partly cloudy throughout the day.,83,83,Partly cloudy throughout the day.
3/24/2016,37,55.8,0,0,0.13,19.7,13.8,77.7,9.9,Partially cloudy,Partly cloudy throughout the day.,84,84,Partly cloudy throughout the day.
3/25/2016,39.7,47.8,0,0,0,25.3,18.2,86,9.9,Partially cloudy,Partly cloudy throughout the day.,85,85,Partly cloudy throughout the day.
3/26/2016,34.9,48.8,0,0,0,21.9,14.8,65.4,9.9,Partially cloudy,Partly cloudy throughout the day.,86,86,Partly cloudy throughout the day.
3/27/2016,38.8,61.9,0,0,0,31.1,22.4,83.8,9.9,Partially cloudy,Partly cloudy throughout the day.,87,87,Partly cloudy throughout the day.
3/28/2016,33.1,58.4,0.41,0,0,36.2,24.9,97.2,6.2,"Rain, Overcast",Cloudy skies throughout the day with rain.,88,88,Cloudy skies throughout the day with rain.
3/29/2016,37.9,47.5,0.3,0,0,26.4,15.7,84.1,9.5,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,89,89,Partly cloudy throughout the day with early morning rain.
3/30/2016,37,46.9,0.01,0,0,,11.3,73.2,9.9,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,90,90,Partly cloudy throughout the day with afternoon rain.
3/31/2016,38,51.1,0.07,0,0,29.8,13.3,89,9.9,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,91,91,Partly cloudy throughout the day with late afternoon rain.
4/1/2016,35,56.8,0,0,0,23,12.7,44.8,9.9,Partially cloudy,Becoming cloudy in the afternoon.,92,92,Becoming cloudy in the afternoon.
4/2/2016,38,63.8,0,0,0,,10.3,8.7,9.9,Clear,Clear conditions throughout the day.,93,93,Clear conditions throughout the day.
4/3/2016,44,69.9,0.01,0,0,,12.6,48.3,9.9,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,94,94,Partly cloudy throughout the day with afternoon rain.
4/4/2016,48.7,68.9,0,0,0,27.7,19.3,60.8,9.9,Partially cloudy,Partly cloudy throughout the day.,95,95,Partly cloudy throughout the day.
4/5/2016,42.8,55,0,0,0,26.4,21.5,44.1,9.9,Partially cloudy,Clearing in the afternoon.,96,96,Clearing in the afternoon.
4/6/2016,37.9,62.7,0,0,0,,11.1,21.8,9.9,Partially cloudy,Partly cloudy throughout the day.,97,97,Partly cloudy throughout the day.
4/7/2016,42.9,69,0,0,0,,12.5,33.1,9.9,Partially cloudy,Partly cloudy throughout the day.,98,98,Partly cloudy throughout the day.
4/8/2016,48,77.9,0,0,0,33.4,10.4,70.9,9.9,Partially cloudy,Partly cloudy throughout the day.,99,99,Partly cloudy throughout the day.
4/9/2016,57.6,67.8,0,0,0,31.1,22.3,87.1,9.9,Partially cloudy,Partly cloudy throughout the day.,100,100,Partly cloudy throughout the day.
4/10/2016,54.9,66.7,0,0,0,28.9,19.5,87.3,9.9,Partially cloudy,Partly cloudy throughout the day.,101,101,Partly cloudy throughout the day.
4/11/2016,51,69.8,0,0,0,,16.9,59.3,9.9,Partially cloudy,Partly cloudy throughout the day.,102,102,Partly cloudy throughout the day.
4/12/2016,50.9,72.9,0,0,0,,11.6,47.8,9.9,Partially cloudy,Clearing in the afternoon.,103,103,Clearing in the afternoon.
4/13/2016,51,60.8,0.19,0,0,28.7,17.9,88,9.7,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,104,104,Partly cloudy throughout the day with a chance of rain throughout the day.
4/14/2016,37.9,57.5,0.62,0,0,34,23.5,83.9,8.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,105,105,Partly cloudy throughout the day with rain in the morning and afternoon.
4/15/2016,35,52.9,0.07,0,0,33.3,20.5,69.3,9.3,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,106,106,Partly cloudy throughout the day with morning rain.
4/16/2016,36,57.7,0,0,0,34.4,25.9,36.8,9.9,Partially cloudy,Partly cloudy throughout the day.,107,107,Partly cloudy throughout the day.
4/17/2016,39,60,0,0,0,33,20.4,38,9.9,Partially cloudy,Becoming cloudy in the afternoon.,108,108,Becoming cloudy in the afternoon.
4/18/2016,46.8,60.8,0,0,0,27.7,16.9,67,9.9,Partially cloudy,Partly cloudy throughout the day.,109,109,Partly cloudy throughout the day.
4/19/2016,47.8,65.8,0,0,0,,10.1,49.4,9.9,Partially cloudy,Clearing in the afternoon.,110,110,Clearing in the afternoon.
4/20/2016,48.7,74.7,0,0,0,,11.4,29.6,9.9,Partially cloudy,Partly cloudy throughout the day.,111,111,Partly cloudy throughout the day.
4/21/2016,54,81.8,0,0,0,25.3,16.9,70.9,9.9,Partially cloudy,Partly cloudy throughout the day.,112,112,Partly cloudy throughout the day.
4/22/2016,60.8,79.8,0,0,0,45.5,28.5,86.2,9.9,Partially cloudy,Partly cloudy throughout the day.,113,113,Partly cloudy throughout the day.
4/23/2016,44.8,71.9,0.21,0,0,49.4,28.5,93.1,9.3,"Rain, Overcast",Cloudy skies throughout the day with rain.,114,114,Cloudy skies throughout the day with rain.
4/24/2016,44.9,60.9,0.06,0,0,20.8,15.9,86.1,9.9,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,115,115,Partly cloudy throughout the day with early morning rain.
4/25/2016,46.9,60.5,0,0,0,30,19.2,88.2,9.9,Partially cloudy,Partly cloudy throughout the day.,116,116,Partly cloudy throughout the day.
4/26/2016,46,56.9,0.09,0,0,29.8,19.6,90.9,9.9,"Rain, Overcast",Cloudy skies throughout the day with rain.,117,117,Cloudy skies throughout the day with rain.
4/27/2016,44.9,57.6,0.15,0,0,,15.5,89,9.9,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,118,118,Partly cloudy throughout the day with rain.
4/28/2016,46.8,56.6,0.05,0,0,38,15.2,89.2,9.9,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,119,119,Partly cloudy throughout the day with rain in the morning and afternoon.
4/29/2016,43,56.8,0,0,0,30,10.2,81.5,9.9,Partially cloudy,Partly cloudy throughout the day.,120,120,Partly cloudy throughout the day.
4/30/2016,44,61.8,0,0,0,36.9,18.3,77.9,9.9,Partially cloudy,Partly cloudy throughout the day.,121,121,Partly cloudy throughout the day.
5/1/2016,48.5,63.8,0.03,0,0,33.4,22.9,65.6,9.9,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,122,122,Partly cloudy throughout the day with early morning rain.
5/2/2016,43.1,68.9,0,0,0,30,15.7,34.8,9.9,Partially cloudy,Clearing in the afternoon.,123,123,Clearing in the afternoon.
5/3/2016,46.9,73,0,0,0,28.9,11.2,14.3,9.9,Clear,Clear conditions throughout the day.,124,124,Clear conditions throughout the day.
5/4/2016,53.7,81.8,0,0,0,31.1,22.3,60.2,9.9,Partially cloudy,Partly cloudy throughout the day.,125,125,Partly cloudy throughout the day.
5/5/2016,63.7,82.8,0,0,0,27.7,20.1,83.4,9.9,Partially cloudy,Partly cloudy throughout the day.,126,126,Partly cloudy throughout the day.
5/6/2016,53.8,71.5,0.09,0,0,40.3,23.7,84,9.9,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,127,127,Partly cloudy throughout the day with rain.
5/7/2016,46.1,60.9,0.16,0,0,26.4,13.9,75.8,9.7,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,128,128,Partly cloudy throughout the day with rain.
5/8/2016,49.8,55,0.25,0,0,,11.4,94.8,8.9,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,129,129,Cloudy skies throughout the day with rain in the morning and afternoon.
5/9/2016,51,66.7,0.39,0,0,34.4,23.9,77,9.7,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,130,130,Partly cloudy throughout the day with a chance of rain throughout the day.
5/10/2016,42.8,58.8,0,0,0,31.1,13.6,52.3,9.9,Partially cloudy,Partly cloudy throughout the day.,131,131,Partly cloudy throughout the day.
5/11/2016,41.9,61.8,0.01,0,0,27.7,11.3,27.2,9.9,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,132,132,Partly cloudy throughout the day with early morning rain.
5/12/2016,43.8,76.7,0,0,0,20.8,11.1,32.7,9.9,Partially cloudy,Partly cloudy throughout the day.,133,133,Partly cloudy throughout the day.
5/13/2016,53.9,84.5,0,0,0,18.3,13.8,59.9,9.9,Partially cloudy,Partly cloudy throughout the day.,134,134,Partly cloudy throughout the day.
5/14/2016,59.9,86.9,0,0,0,32.3,22.6,57.5,9.9,Partially cloudy,Partly cloudy throughout the day.,135,135,Partly cloudy throughout the day.
5/15/2016,57.7,71.7,0,0,0,37.5,22.6,89.1,9.9,Partially cloudy,Partly cloudy throughout the day.,136,136,Partly cloudy throughout the day.
5/16/2016,51,64.9,0.01,0,0,28.9,14.7,82,9.9,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,137,137,Partly cloudy throughout the day with afternoon rain.
5/17/2016,54.9,68.9,0,0,0,34,16,71.3,9.9,Partially cloudy,Partly cloudy throughout the day.,138,138,Partly cloudy throughout the day.
5/18/2016,50.9,74.7,0,0,0,24.2,13.6,36.7,9.9,Partially cloudy,Partly cloudy throughout the day.,139,139,Partly cloudy throughout the day.
5/19/2016,55.8,81.9,0.15,0,0,39.5,27.1,65.6,9.9,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,140,140,Partly cloudy throughout the day with late afternoon rain.
5/20/2016,55.5,77.9,0.09,0,0,48.1,33,93.2,9.9,"Rain, Overcast",Cloudy skies throughout the day with early morning rain.,141,141,Cloudy skies throughout the day with early morning rain.
5/21/2016,48.8,70.8,0.4,0,0,33.9,21.4,78.3,9.3,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,142,142,Partly cloudy throughout the day with rain in the morning and afternoon.
5/22/2016,46.9,60,0.02,0,0,33.3,17.7,67.6,9.9,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,143,143,Partly cloudy throughout the day with afternoon rain.
5/23/2016,44.7,68.9,0,0,0,,13.4,70.3,9.9,Partially cloudy,Partly cloudy throughout the day.,144,144,Partly cloudy throughout the day.
5/24/2016,52,70.7,0.01,0,0,32.1,25.8,71,9.9,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,145,145,Partly cloudy throughout the day with afternoon rain.
5/25/2016,51.8,66.6,0,0,0,,13.5,71.5,9.9,Partially cloudy,Partly cloudy throughout the day.,146,146,Partly cloudy throughout the day.
5/26/2016,48.6,70.9,0,0,0,23,14.5,38.2,9.9,Partially cloudy,Partly cloudy throughout the day.,147,147,Partly cloudy throughout the day.
5/27/2016,53.6,71.7,0.01,0,0,23,13.6,61.7,9.9,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,148,148,Partly cloudy throughout the day with late afternoon rain.
5/28/2016,53.6,74.6,0,0,0,17.2,14.7,50.7,9.9,Partially cloudy,Partly cloudy throughout the day.,149,149,Partly cloudy throughout the day.
5/29/2016,56.6,78.8,0,0,0,35.5,20.2,74.5,9.9,Partially cloudy,Partly cloudy throughout the day.,150,150,Partly cloudy throughout the day.
5/30/2016,55.9,77.9,0.02,0,0,33.2,23.8,62.1,9.9,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,151,151,Partly cloudy throughout the day with early morning rain.
5/31/2016,52.8,76.8,0,0,0,19.7,13.5,24.1,9.9,Partially cloudy,Partly cloudy throughout the day.,152,152,Partly cloudy throughout the day.
6/1/2016,55.7,81.9,0.01,0,0,25.3,11.1,33.1,9.9,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,153,153,Partly cloudy throughout the day with late afternoon rain.
6/2/2016,61.8,87.8,0.01,0,0,26.2,15.7,49.6,9.9,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,154,154,Partly cloudy throughout the day with morning rain.
6/3/2016,60,84.6,0,0,0,39.1,12.6,42.7,9.9,Partially cloudy,Clearing in the afternoon.,155,155,Clearing in the afternoon.
6/4/2016,61.8,90.8,0,0,0,26.4,9.1,10.9,9.9,Clear,Clear conditions throughout the day.,156,156,Clear conditions throughout the day.
6/5/2016,65.6,94.7,0,0,0,25.3,10.1,22.1,9.9,Partially cloudy,Partly cloudy throughout the day.,157,157,Partly cloudy throughout the day.
6/6/2016,70.8,95.9,0.01,0,0,39.7,25.1,72.7,9.9,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,158,158,Partly cloudy throughout the day with afternoon rain.
6/7/2016,70.7,89.7,0,0,0,26.4,16.6,79.1,9.9,Partially cloudy,Partly cloudy throughout the day.,159,159,Partly cloudy throughout the day.
6/8/2016,68.8,93.6,0,0,0,,11.3,38.8,9.9,Partially cloudy,Becoming cloudy in the afternoon.,160,160,Becoming cloudy in the afternoon.
6/9/2016,76.7,93.5,0,0,0,29.8,16.7,59.6,9.9,Partially cloudy,Partly cloudy throughout the day.,161,161,Partly cloudy throughout the day.
6/10/2016,74.6,92.6,0,0,0,37.7,27.3,74.5,9.9,Partially cloudy,Partly cloudy throughout the day.,162,162,Partly cloudy throughout the day.
6/11/2016,57.7,78.6,0.3,0,0,34,20.4,90,9.2,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,163,163,Partly cloudy throughout the day with rain.
6/12/2016,55.9,76.8,0.01,0,0,32.3,19.4,64.2,9.5,"Rain, Partially cloudy",Clearing in the afternoon with morning rain.,164,164,Clearing in the afternoon with morning rain.
6/13/2016,59.9,73.8,0.18,0,0,31.1,14.9,67,9.6,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,165,165,Partly cloudy throughout the day with rain.
6/14/2016,56.8,86.8,0,0,0,33.3,22.8,57,9.9,Partially cloudy,Partly cloudy throughout the day.,166,166,Partly cloudy throughout the day.
6/15/2016,57.8,91.8,0,0,0,49.1,34,33.2,9.9,Partially cloudy,Partly cloudy throughout the day.,167,167,Partly cloudy throughout the day.
6/16/2016,55.8,79.8,0,0,0,33.2,23.7,19.6,9.9,Clear,Clear conditions throughout the day.,168,168,Clear conditions throughout the day.
